id,name,category,cluster,tier,outside_district,notes
dang-saputara-lake,Saputara Lake,lake,saputara,1,false,Boat Club folded in
dang-sunset-point,Sunset Point (Gandhi Shikhar),viewpoint,saputara,1,false,
dang-sunrise-point,Sunrise Point (Valley View Point),viewpoint,saputara,1,false,
dang-table-point,Table Point,viewpoint,saputara,1,false,
dang-pushpak-ropeway,Pushpak Ropeway,adventure,saputara,1,false,Verify operator/fares
dang-saputara-tribal-museum,Saputara Tribal Museum,museum,saputara,1,false,
dang-gira-falls,Gira Falls,waterfall,waghai,1,false,Near Waghai; monsoon icon
dang-waghai-botanical-garden,Waghai Botanical Garden,garden,waghai,1,false,
dang-girmal-falls,Girmal Falls,waterfall,dang-interior,1,false,Gujarat's tallest (~30 m)
dang-don-hill,Don Hill Station,viewpoint,dang-interior,1,false,Higher than Saputara; emerging
dang-purna-wildlife-sanctuary,Purna Wildlife Sanctuary,wildlife,dang-interior,1,false,Entry permits via forest dept
dang-shabari-dham,Shabari Dham,temple,dang-interior,1,false,Ramayana lore; Subir
dang-echo-point,Echo Point,viewpoint,saputara,2,false,
dang-governors-hill,Governor's Hill,viewpoint,saputara,2,false,Verify current access/skywalk claim
dang-step-garden,Step Garden,garden,saputara,2,false,
dang-rose-garden,Rose Garden,garden,saputara,2,false,
dang-lake-garden,Lake Garden,garden,saputara,2,false,
dang-artist-village,Artist Village (Gandharvapur),cultural,saputara,2,false,Warli/Kunbi crafts
dang-nageshwar-mahadev-temple,Nageshwar Mahadev Temple,temple,saputara,2,false,Lakeside
dang-hatgadh-fort,Hatgadh Fort,fort,saputara,2,true,Nashik (MH); ~5 km from Saputara
dang-kilad-nature-campsite,Kilad Nature Education Campsite,eco-campsite,waghai,2,false,Forest dept
dang-vansda-national-park,Vansda National Park,wildlife,waghai,2,true,Navsari; borders Waghai
dang-mahal-eco-campsite,Mahal Eco Campsite,eco-campsite,dang-interior,2,false,Inside Purna WLS; also a Stay
dang-pampa-sarovar,Pampa Sarovar,religious-site,dang-interior,2,false,Ramayana lore; near Subir
dang-anjan-kund,Anjan Kund (Anjani Parvat),religious-site,dang-interior,2,false,Hanuman-birthplace tradition
dang-honey-bee-centre,Honey Bee Centre,cultural,saputara,3,false,Verify operational status
dang-town-view-point,Town View Point,viewpoint,saputara,3,false,
dang-saputara-adventure-park,Saputara Adventure Park,adventure,saputara,3,false,Verify operator; seasonal
dang-shivghat,Shivghat,religious-site,dang-interior,3,false,Purna riverside
dang-barda-falls,Barda Falls,waterfall,dang-interior,3,false,Verify existence/access
dang-rupgadh-fort,Rupgadh Fort,fort,dang-interior,3,false,Trek; verify route
dang-padam-dungari,Padam Dungari Eco Campsite,eco-campsite,waghai,3,true,Tapi; Ambika riverside
narmada-statue-of-unity,Statue of Unity,monument,sou-complex,1,false,Viewing gallery & museum folded in; Mondays closed; online booking
narmada-sardar-sarovar-dam,Sardar Sarovar Dam Viewpoints,dam,sou-complex,1,false,
narmada-valley-of-flowers,Valley of Flowers (Bharat Van),garden,sou-complex,1,false,
narmada-jungle-safari,Jungle Safari (Sardar Patel Zoological Park),wildlife,sou-complex,1,false,Subcategory zoo
narmada-river-rafting-khalwani,River Rafting Khalwani,adventure,ekta-nagar-area,1,false,Seasonal; verify operator
narmada-zarwani-falls,Zarwani Waterfall,waterfall,ekta-nagar-area,1,false,Inside Shoolpaneshwar WLS; campsite folded in
narmada-ninai-falls,Ninai Falls,waterfall,dediapada-belt,1,false,Monsoon; forest road
narmada-shoolpaneshwar-wls,Shoolpaneshwar Wildlife Sanctuary,wildlife,dediapada-belt,1,false,Permits via forest dept
narmada-rajvant-palace,Rajvant Palace (Vijay Palace),palace,rajpipla,1,false,Museum + heritage resort
narmada-nilkanthdham-poicha,Nilkanthdham Swaminarayan Temple,temple,poicha,1,false,Large complex on Narmada bank
narmada-ekta-cruise,Ekta Cruise (Narmada boat ride),adventure,sou-complex,2,false,Verify operational status
narmada-cactus-garden,Cactus Garden,garden,sou-complex,2,false,
narmada-butterfly-garden,Butterfly Garden,garden,sou-complex,2,false,
narmada-arogya-van,Arogya Van,garden,sou-complex,2,false,Herbal/wellness themed
narmada-children-nutrition-park,Children Nutrition Park,park,sou-complex,2,false,Train-ride edutainment
narmada-unity-glow-garden,Unity Glow Garden,park,sou-complex,2,false,Evenings only
narmada-maze-garden,Maze Garden (Bhool Bhulaiya),garden,sou-complex,2,false,
narmada-sou-laser-show,SoU Laser Light & Sound Show,show,sou-complex,2,false,Evenings; no show Mondays
narmada-garudeshwar,Garudeshwar Datta Temple,temple,ekta-nagar-area,2,false,Vasudevanand Saraswati samadhi
narmada-shoolpaneshwar-temple,Shoolpaneshwar Mahadev Temple (Gora),temple,ekta-nagar-area,2,false,Shravan crowds
narmada-sagai-malsamot,Sagai-Malsamot Eco Campsite & Hill,eco-campsite,dediapada-belt,2,false,Mini hill station; also a Stay
narmada-devmogra-temple,Devmogra Mata Temple,temple,dediapada-belt,2,false,Yaha Mogi; Sagbara; annual fair
narmada-harsiddhi-mata-temple,Harsiddhi Mata Temple,temple,rajpipla,2,false,
narmada-kabirvad,Kabirvad Banyan Island,religious-site,poicha,2,true,Bharuch; boat access
narmada-vishwa-van,Vishwa Van,garden,sou-complex,3,false,
narmada-ekta-nursery,Ekta Nursery,garden,sou-complex,3,false,
narmada-miyawaki-forest,Miyawaki Forest,garden,sou-complex,3,false,
narmada-dino-trail,Dino Trail,park,sou-complex,3,false,
narmada-ekta-mall,Ekta Mall,market,sou-complex,3,false,
narmada-rajpipla-heritage-walk,Rajpipla Old Town & Clock Tower,cultural,rajpipla,3,false,
narmada-karjan-reservoir,Karjan Dam & Reservoir,dam,rajpipla,3,false,Verify visitor access
